DATE,lat,lon,adm1_code,location_type
2025-11-18 01:00:00,35.2271,-80.8431,USNC,3
2025-11-18 01:00:00,41.85,-87.6501,USIL,3
2025-11-18 01:00:00,35.6411,-79.8431,USNC,2
2025-11-18 01:00:00,40.3363,-89.0022,USIL,2
2025-11-18 01:00:00,39.2334,-89.4501,USIL,3
2025-11-18 01:00:00,38.6703,-89.9846,USIL,3
2025-11-15 04:00:00,33.7712,-111.388,USAZ,2
2025-11-15 04:00:00,27.8333,-81.717,USFL,2
2025-11-15 04:00:00,42.2373,-71.5314,USMA,2
2025-11-15 04:00:00,31.106,-97.6475,USTX,2
2025-11-15 04:00:00,40.3736,-82.7755,USOH,2
2025-11-15 04:00:00,38.4199,-117.122,USNV,2
2025-11-15 04:00:00,39.0724,-76.7902,USMD,2
2025-11-15 04:00:00,32.9866,-83.6487,USGA,2
2025-11-15 04:00:00,35.6411,-79.8431,USNC,2
2025-11-15 04:00:00,42.1497,-74.9384,USNY,2
2025-11-15 04:00:00,40.314,-74.5089,USNJ,2
2025-11-15 04:00:00,43.3504,-84.5603,USMI,2
2025-11-15 04:00:00,40.5773,-77.264,USPA,2
2025-11-15 04:00:00,40.314,-74.5089,USNJ,2
2025-11-15 04:00:00,40.7357,-74.1724,USNJ,3
2025-11-01 22:00:00,39.8647,-86.2604,USIN,2
2025-11-01 22:00:00,41.5834,-72.7622,USCT,2
2025-11-01 22:00:00,36.17,-119.746,USCA,2
2025-11-01 22:00:00,40.3363,-89.0022,USIL,2
2025-11-01 22:00:00,41.85,-87.6501,USIL,3
2025-11-01 22:00:00,41.8334,-87.8501,USIL,3
2025-11-01 22:00:00,31.106,-97.6475,USTX,2
2025-11-01 22:00:00,42.1497,-74.9384,USNY,2
2025-11-30 01:00:00,33.7712,-111.388,USAZ,2
2025-11-30 01:00:00,38.5111,-96.8005,USKS,2
2025-11-30 01:00:00,31.106,-97.6475,USTX,2
2025-11-30 01:00:00,40.3736,-82.7755,USOH,2
2025-11-30 01:00:00,42.1497,-74.9384,USNY,2
2025-11-30 01:00:00,33.6639,-114.23,USAZ,3
2025-11-30 01:00:00,36.17,-119.746,USCA,2
